CreditScore,Geography,Gender,Age,Tenure,Balance,NumOfProducts,HasCrCard,IsActiveMember,EstimatedSalary
731,Spain,Male,33,1,0.0,1,1,0,130726.96
656,France,Male,35,6,0.0,2,1,0,1485.27
772,France,Male,43,6,0.0,2,1,1,57675.88
585,Germany,Female,28,9,135337.49,2,1,1,40385.61
651,France,Male,44,2,0.0,3,1,0,102530.35
751,France,Female,48,4,0.0,1,0,1,30165.06
764,France,Female,24,0,0.0,2,1,0,88724.49
656,Spain,Male,28,8,120047.77,1,1,1,137173.39
630,France,Male,43,9,0.0,2,1,1,34338.04
705,Spain,Female,39,8,144102.32,1,1,1,11682.36
652,France,Male,36,1,0.0,2,1,1,151314.98
619,France,Female,35,4,90413.12,1,1,1,20555.21
450,Spain,Female,34,2,0.0,2,1,0,175480.93
684,France,Male,34,9,0.0,2,1,1,65257.57
703,Spain,Male,36,7,135095.47,1,1,0,143859.66
677,France,Male,42,5,99580.13,1,1,0,21007.96
669,France,Female,29,7,146011.4,1,0,0,50249.16
593,Germany,Female,62,3,118233.81,1,0,1,24765.53
785,Germany,Female,33,5,136624.6,2,1,1,169117.74
776,Spain,Male,33,2,0.0,2,1,1,176921.0
622,Spain,Female,46,4,107073.27,2,1,1,30984.59
643,Germany,Male,41,2,127841.52,1,1,0,172363.41
667,France,Male,36,9,0.0,2,1,1,40062.29
799,Spain,Male,38,2,0.0,2,1,1,59297.34
638,Spain,Male,41,7,0.0,2,1,0,43889.41
647,France,Male,41,4,138937.35,1,1,1,101617.64
604,Spain,Female,41,10,0.0,2,1,1,166224.39
850,Spain,Male,31,6,82613.56,2,1,0,149170.92
571,Germany,Male,37,9,139592.98,3,1,0,104152.65
724,Spain,Male,39,3,0.0,2,0,1,95562.81
687,Germany,Male,26,2,142721.52,1,1,1,153605.75
622,Spain,Female,26,8,0.0,2,1,1,124964.82
493,France,Female,36,5,148667.81,2,1,0,56092.51
627,France,Male,73,0,146329.73,1,0,1,43615.67
725,Spain,Female,36,4,118520.26,1,0,0,131173.9
597,France,Female,36,9,0.0,2,1,1,7156.09
763,Spain,Female,32,10,95153.77,1,0,1,81310.1
663,Germany,Female,29,4,102714.65,2,0,0,21170.81
359,France,Female,44,6,128747.69,1,1,0,146955.71
580,Germany,Female,38,1,128218.47,1,1,0,125953.83
535,Spain,Female,50,1,140292.58,3,0,0,69531.22
663,Spain,Male,64,6,0.0,2,0,1,15876.52
722,Germany,Female,32,5,106807.64,1,1,1,76998.69
550,France,Male,22,6,154377.3,1,1,1,51721.52
479,France,Male,34,5,117593.48,2,0,0,113308.29
667,Germany,Female,36,1,114391.62,1,1,1,53412.54
635,Germany,Female,37,9,146748.07,1,0,1,11407.58
619,Spain,Female,32,4,175406.13,2,1,1,172792.43
629,France,Female,37,10,99546.25,3,0,1,25136.95
655,France,Female,51,3,0.0,2,0,1,15801.02
817,France,Female,37,6,81070.34,2,1,0,80985.88
544,France,Male,23,1,96471.2,1,1,0,35550.97
623,France,Male,23,1,106012.2,2,0,1,191415.94
745,France,Female,28,6,0.0,2,1,0,154389.18
616,France,Female,31,8,0.0,1,0,1,76456.17
503,France,Male,38,1,0.0,2,1,1,95153.24
630,France,Female,36,8,126598.99,2,1,1,134407.93
558,France,Male,32,5,73494.21,1,0,0,136301.1
644,Spain,Female,31,5,86006.3,1,1,1,73922.95
713,France,Male,36,8,133889.35,1,1,1,143265.65
493,Germany,Female,35,8,178317.6,1,0,0,197428.64
614,France,Female,34,5,0.0,2,1,0,185561.89
583,France,Female,44,8,0.0,2,1,1,27431.62
736,Germany,Male,50,9,116309.01,1,1,0,185360.4
669,France,Male,43,1,163159.85,1,0,1,15602.8
850,France,Male,55,6,0.0,1,1,0,944.41
798,France,Male,34,9,154495.79,1,1,0,191395.88
759,France,Female,22,5,0.0,1,1,0,22303.17
376,France,Female,46,6,0.0,1,1,0,157333.69
733,France,Male,22,5,0.0,2,1,1,117202.19
721,Germany,Female,36,3,65253.07,2,1,0,28737.78
584,Spain,Male,32,9,85534.83,1,0,0,169137.24
740,France,Female,37,9,0.0,2,1,1,73225.31
610,France,Male,41,6,0.0,3,0,0,56118.81
509,Spain,Male,41,7,126683.8,1,0,1,114775.53
777,France,Female,58,4,0.0,1,1,1,62449.07
744,Germany,Male,32,4,96106.83,1,1,1,79812.77
650,France,Male,32,2,84906.45,1,1,0,163216.48
771,Spain,Female,56,2,0.0,1,1,1,25222.6
554,Germany,Male,26,4,121365.39,1,1,1,8742.36
614,France,Male,51,4,40685.92,1,1,1,46775.28
491,Germany,Female,68,1,95039.12,1,0,1,116471.14
657,France,Male,44,6,76495.04,1,1,0,79071.89
555,France,Male,31,8,145875.74,1,1,0,137491.23
619,France,Female,42,2,0.0,1,1,1,101348.88
579,France,Female,27,9,0.0,2,1,0,126838.7
701,Germany,Male,23,5,186101.18,2,1,1,76611.33
755,Germany,Male,38,4,111096.91,1,1,1,19762.88
751,Germany,Female,36,6,169831.46,2,1,1,27758.36
714,France,Male,35,3,0.0,2,1,1,95623.28
766,Spain,Male,36,5,78381.13,1,0,1,153831.6
705,Germany,Female,44,10,106731.58,1,1,0,137419.87
757,Germany,Male,31,1,127320.36,3,1,0,163170.32
598,France,Male,48,6,120682.53,1,1,0,30635.52
490,France,Female,37,3,116465.53,1,0,1,24435.77
629,Spain,Male,34,1,121151.05,1,0,0,119357.93
689,France,Male,47,1,93871.95,3,1,0,156878.42
584,France,Male,33,3,0.0,2,0,1,59103.13
788,Spain,Male,34,6,156478.62,1,0,1,181196.76
